unit,time,predicted_RUL
1,5,182.11
1,6,176.09
1,7,165.17
1,8,184.09
1,9,188.5
1,10,205.48
1,11,194.76
1,12,194.57
1,13,190.1
1,14,184.23
1,15,189.21
1,16,191.72
1,17,182.61
1,18,174.01
1,19,179.89
1,20,173.07
1,21,183.22
1,22,180.52
1,23,181.38
1,24,166.71
1,25,186.51
1,26,169.53
1,27,186.68
1,28,167.17
1,29,155.69
1,30,169.42
1,31,165.41
2,5,168.38
2,6,160.94
2,7,163.93
2,8,154.12
2,9,143.52
2,10,141.71
2,11,162.57
2,12,142.98
2,13,155.04
2,14,137.06
2,15,146.6
2,16,145.37
2,17,163.54
2,18,165.49
2,19,169.83
2,20,156.15
2,21,137.94
2,22,139.52
2,23,139.11
2,24,118.73
2,25,130.78
2,26,144.15
2,27,123.94
2,28,126.91
2,29,145.49
2,30,150.86
2,31,160.16
2,32,143.36
2,33,153.6
2,34,146.02
2,35,141.0
2,36,142.59
2,37,147.01
2,38,153.57
2,39,143.55
2,40,136.23
2,41,163.53
2,42,160.35
2,43,155.28
2,44,151.22
2,45,153.87
2,46,151.71
2,47,149.64
2,48,140.39
2,49,149.51
3,5,121.5
3,6,125.6
3,7,124.46
3,8,122.29
3,9,123.9
3,10,127.65
3,11,116.0
3,12,139.98
3,13,134.53
3,14,145.18
3,15,137.57
3,16,139.28
3,17,132.6
3,18,131.92
3,19,123.68
3,20,128.25
3,21,143.69
3,22,143.34
3,23,129.15
3,24,140.44
3,25,141.98
3,26,144.4
3,27,137.24
3,28,139.94
3,29,130.42
3,30,139.32
3,31,135.96
3,32,131.87
3,33,106.28
3,34,101.62
3,35,114.84
3,36,117.98
3,37,117.76
3,38,126.39
3,39,127.23
3,40,143.74
3,41,140.52
3,42,153.12
3,43,136.52
3,44,124.67
3,45,118.97
3,46,128.51
3,47,129.24
3,48,134.62
3,49,128.11
3,50,127.88
3,51,140.53
3,52,135.09
3,53,137.4
3,54,135.96
3,55,137.94
3,56,142.58
3,57,143.61
3,58,126.56
3,59,126.16
3,60,128.34
3,61,117.09
3,62,150.2
3,63,131.53
3,64,122.0
3,65,121.77
3,66,133.19
3,67,138.63
3,68,148.91
3,69,144.15
3,70,147.7
3,71,145.97
3,72,134.92
3,73,129.5
3,74,145.68
3,75,152.03
3,76,143.74
3,77,125.87
3,78,133.78
3,79,130.09
3,80,135.3
3,81,127.85
3,82,149.41
3,83,140.82
3,84,139.33
3,85,131.81
3,86,129.66
3,87,110.23
3,88,99.49
3,89,103.5
3,90,108.73
3,91,116.21
3,92,120.38
3,93,131.49
3,94,131.56
3,95,130.68
3,96,118.7
3,97,144.11
3,98,133.11
3,99,136.28
3,100,125.18
3,101,117.47
3,102,137.76
3,103,124.42
3,104,106.42
3,105,133.87
3,106,100.49
3,107,111.21
3,108,106.78
3,109,112.42
3,110,118.53
3,111,97.98
3,112,86.08
3,113,81.62
3,114,79.31
3,115,68.12
3,116,69.35
3,117,76.09
3,118,77.34
3,119,73.18
3,120,64.72
3,121,63.77
3,122,59.22
3,123,55.97
3,124,52.62
3,125,54.28
3,126,45.76
4,5,130.36
4,6,132.43
4,7,146.3
4,8,135.37
4,9,143.79
4,10,131.67
4,11,137.55
4,12,136.66
4,13,147.13
4,14,136.59
4,15,137.97
4,16,137.67
4,17,130.19
4,18,119.83
4,19,121.3
4,20,119.2
4,21,131.98
4,22,148.29
4,23,131.58
4,24,128.49
4,25,145.5
4,26,140.49
4,27,137.26
4,28,129.6
4,29,126.61
4,30,123.69
4,31,118.98
4,32,132.28
4,33,123.99
4,34,130.46
4,35,132.5
4,36,141.86
4,37,142.52
4,38,151.97
4,39,123.98
4,40,128.17
4,41,123.25
4,42,125.96
4,43,119.28
4,44,136.16
4,45,123.91
4,46,128.53
4,47,124.91
4,48,139.95
4,49,147.84
4,50,123.77
4,51,139.4
4,52,144.33
4,53,129.02
4,54,130.04
4,55,129.5
4,56,118.75
4,57,123.0
4,58,127.61
4,59,137.6
4,60,136.62
4,61,132.68
4,62,130.7
4,63,125.27
4,64,135.46
4,65,125.38
4,66,124.61
4,67,127.66
4,68,130.52
4,69,141.38
4,70,123.03
4,71,123.62
4,72,130.06
4,73,127.23
4,74,114.99
4,75,113.05
4,76,116.4
4,77,121.13
4,78,122.21
4,79,135.01
4,80,138.33
4,81,139.48
4,82,131.01
4,83,135.71
4,84,139.74
4,85,141.64
4,86,134.64
4,87,125.94
4,88,124.84
4,89,125.82
4,90,127.15
4,91,133.82
4,92,125.58
4,93,146.33
4,94,145.89
4,95,133.5
4,96,139.81
4,97,128.93
4,98,113.69
4,99,122.54
4,100,119.23
4,101,104.34
4,102,104.5
4,103,91.78
4,104,94.65
4,105,104.65
4,106,113.46
5,5,155.21
5,6,130.44
5,7,136.81
5,8,127.12
5,9,131.54
5,10,116.08
5,11,125.43
5,12,135.06
5,13,140.09
5,14,134.81
5,15,138.56
5,16,125.01
5,17,125.66
5,18,135.46
5,19,124.41
5,20,128.27
5,21,131.45
5,22,132.22
5,23,124.59
5,24,140.56
5,25,141.56
5,26,135.95
5,27,136.14
5,28,144.47
5,29,142.98
5,30,139.55
5,31,144.49
5,32,138.67
5,33,148.15
5,34,143.59
5,35,138.37
5,36,132.36
5,37,123.74
5,38,144.55
5,39,140.08
5,40,142.88
5,41,139.96
5,42,143.65
5,43,133.69
5,44,132.52
5,45,144.23
5,46,122.07
5,47,128.02
5,48,132.6
5,49,128.52
5,50,126.52
5,51,145.61
5,52,133.67
5,53,137.14
5,54,146.67
5,55,129.03
5,56,126.2
5,57,119.12
5,58,124.74
5,59,123.74
5,60,144.36
5,61,137.53
5,62,131.1
5,63,135.06
5,64,122.87
5,65,136.43
5,66,120.97
5,67,128.24
5,68,112.46
5,69,120.47
5,70,130.84
5,71,124.29
5,72,128.5
5,73,132.8
5,74,120.4
5,75,118.43
5,76,112.43
5,77,112.58
5,78,132.16
5,79,141.86
5,80,134.44
5,81,140.27
5,82,125.89
5,83,138.59
5,84,124.03
5,85,123.83
5,86,136.79
5,87,121.96
5,88,127.17
5,89,121.01
5,90,127.36
5,91,111.83
5,92,118.97
5,93,115.76
5,94,134.74
5,95,141.01
5,96,131.49
5,97,141.01
5,98,116.39
6,5,131.88
6,6,126.7
6,7,130.23
6,8,133.82
6,9,133.93
6,10,137.07
6,11,148.07
6,12,161.99
6,13,138.6
6,14,125.75
6,15,125.42
6,16,129.76
6,17,128.73
6,18,132.08
6,19,173.32
6,20,130.45
6,21,129.15
6,22,126.4
6,23,133.07
6,24,125.98
6,25,113.63
6,26,120.26
6,27,111.7
6,28,123.53
6,29,120.78
6,30,156.46
6,31,153.96
6,32,129.48
6,33,145.31
6,34,132.12
6,35,136.69
6,36,135.99
6,37,143.04
6,38,152.27
6,39,135.6
6,40,135.75
6,41,139.64
6,42,129.8
6,43,134.97
6,44,116.99
6,45,122.53
6,46,124.8
6,47,143.21
6,48,134.46
6,49,131.48
6,50,132.37
6,51,139.38
6,52,130.03
6,53,122.33
6,54,118.54
6,55,119.73
6,56,171.09
6,57,137.18
6,58,141.19
6,59,134.96
6,60,129.46
6,61,137.61
6,62,142.44
6,63,124.84
6,64,124.12
6,65,153.36
6,66,138.66
6,67,135.55
6,68,143.69
6,69,136.93
6,70,129.91
6,71,128.64
6,72,140.52
6,73,137.81
6,74,130.05
6,75,139.9
6,76,126.19
6,77,121.49
6,78,124.11
6,79,132.58
6,80,132.3
6,81,141.8
6,82,133.3
6,83,127.52
6,84,111.0
6,85,127.26
6,86,131.69
6,87,131.52
6,88,138.7
6,89,131.95
6,90,134.69
6,91,129.46
6,92,124.53
6,93,139.29
6,94,143.17
6,95,138.71
6,96,127.33
6,97,126.65
6,98,138.47
6,99,128.37
6,100,133.9
6,101,136.84
6,102,124.51
6,103,145.69
6,104,150.49
6,105,148.56
7,5,191.01
7,6,193.92
7,7,206.67
7,8,176.07
7,9,166.35
7,10,171.62
7,11,161.23
7,12,172.37
7,13,175.6
7,14,169.16
7,15,173.56
7,16,180.12
7,17,177.75
7,18,182.61
7,19,181.98
7,20,193.88
7,21,198.64
7,22,201.39
7,23,184.97
7,24,211.64
7,25,200.75
7,26,182.31
7,27,182.92
7,28,170.05
7,29,167.73
7,30,166.74
7,31,159.42
7,32,162.56
7,33,165.12
7,34,170.09
7,35,182.87
7,36,161.16
7,37,153.1
7,38,150.92
7,39,151.22
7,40,147.82
7,41,163.04
7,42,168.17
7,43,185.16
7,44,162.66
7,45,163.85
7,46,176.86
7,47,171.71
7,48,162.69
7,49,153.12
7,50,165.14
7,51,158.99
7,52,156.42
7,53,150.66
7,54,177.84
7,55,195.03
7,56,167.05
7,57,164.13
7,58,162.85
7,59,181.35
7,60,166.86
7,61,205.38
7,62,186.55
7,63,188.25
7,64,187.7
7,65,203.74
7,66,174.77
7,67,148.61
7,68,149.29
7,69,148.95
7,70,167.13
7,71,151.4
7,72,172.16
7,73,147.95
7,74,151.75
7,75,162.96
7,76,163.2
7,77,154.46
7,78,153.91
7,79,146.15
7,80,149.06
7,81,130.26
7,82,139.36
7,83,142.18
7,84,146.81
7,85,143.49
7,86,144.96
7,87,146.22
7,88,157.09
7,89,160.54
7,90,150.59
7,91,146.6
7,92,149.59
7,93,142.4
7,94,183.64
7,95,171.46
7,96,182.39
7,97,169.84
7,98,148.43
7,99,169.31
7,100,148.07
7,101,137.76
7,102,131.35
7,103,130.8
7,104,136.3
7,105,149.71
7,106,164.68
7,107,163.24
7,108,169.45
7,109,171.22
7,110,162.78
7,111,147.64
7,112,149.44
7,113,133.48
7,114,119.46
7,115,136.04
7,116,141.67
7,117,130.69
7,118,126.05
7,119,131.46
7,120,123.69
7,121,160.8
7,122,156.41
7,123,157.07
7,124,147.67
7,125,130.98
7,126,128.52
7,127,145.3
7,128,135.16
7,129,149.86
7,130,145.74
7,131,148.99
7,132,144.56
7,133,136.73
7,134,120.36
7,135,150.89
7,136,140.06
7,137,134.24
7,138,163.33
7,139,155.34
7,140,144.01
7,141,159.57
7,142,141.87
7,143,123.17
7,144,125.92
7,145,132.2
7,146,138.01
7,147,123.41
7,148,135.67
7,149,136.39
7,150,150.88
7,151,142.9
7,152,142.72
7,153,169.17
7,154,156.43
7,155,126.93
7,156,143.02
7,157,132.83
7,158,125.59
7,159,114.76
7,160,107.3
8,5,130.81
8,6,145.42
8,7,143.06
8,8,145.88
8,9,157.34
8,10,145.72
8,11,146.0
8,12,149.58
8,13,147.92
8,14,146.33
8,15,141.13
8,16,137.37
8,17,131.14
8,18,135.3
8,19,126.25
8,20,130.19
8,21,138.26
8,22,146.27
8,23,146.67
8,24,149.62
8,25,151.16
8,26,155.62
8,27,156.59
8,28,156.84
8,29,157.26
8,30,157.3
8,31,145.9
8,32,134.24
8,33,145.12
8,34,146.67
8,35,151.55
8,36,134.08
8,37,137.76
8,38,156.47
8,39,153.95
8,40,159.25
8,41,160.36
8,42,152.14
8,43,152.97
8,44,156.11
8,45,152.38
8,46,157.21
8,47,144.3
8,48,135.14
8,49,138.06
8,50,153.53
8,51,161.31
8,52,159.0
8,53,148.57
8,54,150.27
8,55,156.15
8,56,143.83
8,57,150.74
8,58,158.41
8,59,143.74
8,60,135.7
8,61,146.61
8,62,129.12
8,63,115.74
8,64,125.58
8,65,141.04
8,66,153.74
8,67,150.14
8,68,159.36
8,69,156.57
8,70,127.07
8,71,139.3
8,72,130.55
8,73,137.14
8,74,144.17
8,75,131.01
8,76,142.11
8,77,133.34
8,78,137.1
8,79,126.22
8,80,130.92
8,81,137.21
8,82,155.3
8,83,161.31
8,84,131.7
8,85,146.11
8,86,133.54
8,87,139.84
8,88,146.74
8,89,148.7
8,90,130.99
8,91,150.95
8,92,152.18
8,93,136.61
8,94,119.98
8,95,121.62
8,96,143.77
8,97,161.29
8,98,162.46
8,99,149.66
8,100,157.16
8,101,150.33
8,102,148.71
8,103,155.44
8,104,135.98
8,105,137.45
8,106,125.29
8,107,132.84
8,108,144.62
8,109,143.98
8,110,132.3
8,111,138.28
8,112,145.53
8,113,142.91
8,114,138.07
8,115,131.78
8,116,131.95
8,117,132.81
8,118,136.36
8,119,141.28
8,120,140.28
8,121,143.75
8,122,125.12
8,123,139.05
8,124,144.42
8,125,133.17
8,126,152.31
8,127,149.01
8,128,140.9
8,129,122.14
8,130,110.91
8,131,125.71
8,132,131.61
8,133,132.13
8,134,131.06
8,135,154.91
8,136,148.74
8,137,166.61
8,138,149.56
8,139,136.88
8,140,154.0
8,141,121.37
8,142,121.31
8,143,141.14
8,144,127.41
8,145,142.21
8,146,128.19
8,147,137.95
8,148,142.78
8,149,141.31
8,150,159.98
8,151,144.04
8,152,148.98
8,153,149.95
8,154,143.22
8,155,134.48
8,156,142.83
8,157,127.08
8,158,152.03
8,159,134.15
8,160,147.45
8,161,134.23
8,162,145.83
8,163,135.74
8,164,134.74
8,165,136.99
8,166,127.25
9,5,152.78
9,6,160.77
9,7,136.89
9,8,135.41
9,9,137.5
9,10,141.0
9,11,141.86
9,12,151.42
9,13,156.85
9,14,134.32
9,15,122.26
9,16,126.57
9,17,113.84
9,18,129.33
9,19,144.01
9,20,153.98
9,21,152.36
9,22,143.55
9,23,141.17
9,24,138.9
9,25,135.03
9,26,119.08
9,27,123.55
9,28,143.29
9,29,139.9
9,30,152.19
9,31,141.24
9,32,133.65
9,33,122.16
9,34,133.93
9,35,132.4
9,36,133.55
9,37,141.28
9,38,120.23
9,39,144.19
9,40,137.74
9,41,126.04
9,42,125.47
9,43,132.76
9,44,133.74
9,45,126.94
9,46,121.82
9,47,132.64
9,48,132.12
9,49,152.18
9,50,146.19
9,51,135.63
9,52,133.14
9,53,150.83
9,54,147.68
9,55,142.92
10,5,163.07
10,6,156.32
10,7,145.56
10,8,148.39
10,9,154.2
10,10,185.64
10,11,192.91
10,12,190.42
10,13,192.08
10,14,188.37
10,15,177.28
10,16,180.7
10,17,178.63
10,18,167.24
10,19,178.59
10,20,175.44
10,21,181.86
10,22,175.45
10,23,174.06
10,24,165.82
10,25,148.57
10,26,148.54
10,27,147.46
10,28,147.34
10,29,139.37
10,30,143.9
10,31,143.55
10,32,142.05
10,33,168.81
10,34,171.28
10,35,147.31
10,36,144.48
10,37,168.25
10,38,179.59
10,39,152.48
10,40,163.04
10,41,167.41
10,42,160.75
10,43,157.42
10,44,170.34
10,45,190.26
10,46,156.71
10,47,164.42
10,48,153.55
10,49,170.53
10,50,172.08
10,51,155.0
10,52,155.81
10,53,139.27
10,54,152.76
10,55,152.84
10,56,172.9
10,57,150.39
10,58,168.81
10,59,176.11
10,60,175.86
10,61,179.59
10,62,179.32
10,63,178.22
10,64,175.36
10,65,167.81
10,66,161.92
10,67,165.2
10,68,148.69
